,dose,real_date,extrapolated,vaccinated,interpolated,group,population
1097,2_wait,2021-02-15,False,473053,1,all,56286961
571,2,2021-02-15,False,492573,1,all,56286961
572,2,2021-02-16,False,495703,1,all,56286961
39,1,2021-02-16,False,13395335,1,all,56286961
1098,2_wait,2021-02-16,False,475226,1,all,56286961
573,2,2021-02-17,False,500200,1,all,56286961
1099,2_wait,2021-02-17,False,479318,1,all,56286961
40,1,2021-02-17,False,13817913,1,all,56286961
1100,2_wait,2021-02-18,False,483964,1,all,56286961
574,2,2021-02-18,False,504758,1,all,56286961
41,1,2021-02-18,False,14214173,1,all,56286961
1101,2_wait,2021-02-19,False,487698,1,all,56286961
575,2,2021-02-19,False,508653,1,all,56286961
42,1,2021-02-19,False,14537975,1,all,56286961
1102,2_wait,2021-02-20,False,489883,1,all,56286961
576,2,2021-02-20,False,511086,1,all,56286961
43,1,2021-02-20,False,14844084,1,all,56286961
577,2,2021-02-21,False,513432,1,all,56286961
44,1,2021-02-21,False,14958070,1,all,56286961
1103,2_wait,2021-02-21,False,490720,1,all,56286961
45,1,2021-02-22,False,15113155,1,all,56286961
1104,2_wait,2021-02-22,False,492573,1,all,56286961
578,2,2021-02-22,False,518777,1,all,56286961
46,1,2021-02-23,False,15398053,1,all,56286961
1105,2_wait,2021-02-23,False,495703,1,all,56286961
579,2,2021-02-23,False,528357,1,all,56286961
47,1,2021-02-24,False,15794988,1,all,56286961
1106,2_wait,2021-02-24,False,500200,1,all,56286961
580,2,2021-02-24,False,542566,1,all,56286961
48,1,2021-02-25,False,16227101,1,all,56286961
581,2,2021-02-25,False,558735,1,all,56286961
1107,2_wait,2021-02-25,False,504758,1,all,56286961
582,2,2021-02-26,False,574960,1,all,56286961
49,1,2021-02-26,False,16679879,1,all,56286961
1108,2_wait,2021-02-26,False,508653,1,all,56286961
583,2,2021-02-27,False,590544,1,all,56286961
50,1,2021-02-27,False,17051244,1,all,56286961
1109,2_wait,2021-02-27,False,511086,1,all,56286961
584,2,2021-02-28,False,599932,1,all,56286961
51,1,2021-02-28,False,17212800,1,all,56286961
1110,2_wait,2021-02-28,False,513432,1,all,56286961
52,1,2021-03-01,False,17373380,1,all,56286961
1111,2_wait,2021-03-01,False,518777,1,all,56286961
585,2,2021-03-01,False,612563,1,all,56286961
1112,2_wait,2021-03-02,False,528357,1,all,56286961
586,2,2021-03-02,False,640216,1,all,56286961
53,1,2021-03-02,False,17554697,1,all,56286961
1113,2_wait,2021-03-03,False,542566,1,all,56286961
587,2,2021-03-03,False,684217,1,all,56286961
54,1,2021-03-03,False,17785697,1,all,56286961
1114,2_wait,2021-03-04,False,558735,1,all,56286961
588,2,2021-03-04,False,729262,1,all,56286961
55,1,2021-03-04,False,18106085,1,all,56286961
589,2,2021-03-05,False,766498,1,all,56286961
56,1,2021-03-05,False,18491767,1,all,56286961
1115,2_wait,2021-03-05,False,574960,1,all,56286961
57,1,2021-03-06,False,18875385,1,all,56286961
1116,2_wait,2021-03-06,False,590544,1,all,56286961
590,2,2021-03-06,False,788185,1,all,56286961
58,1,2021-03-07,False,19015494,1,all,56286961
