,vaccinated,extrapolated,data_date,real_date,dose,group,location
89,440913,True,2021-01-26,2021-01-25,1,<80,London
90,37462,True,2021-01-26,2021-01-25,2,>=80,London
91,18403,True,2021-01-26,2021-01-25,2,<80,London
92,486055,True,2021-01-26,2021-01-25,1,>=80,Midlands
93,638148,True,2021-01-26,2021-01-25,1,<80,Midlands
94,48027,True,2021-01-26,2021-01-25,2,>=80,Midlands
95,19294,True,2021-01-26,2021-01-25,2,<80,Midlands
96,377900,True,2021-01-26,2021-01-25,1,>=80,North East And Yorkshire
97,583577,True,2021-01-26,2021-01-25,1,<80,North East And Yorkshire
98,52730,True,2021-01-26,2021-01-25,2,>=80,North East And Yorkshire
99,19046,True,2021-01-26,2021-01-25,2,<80,North East And Yorkshire
100,333364,True,2021-01-26,2021-01-25,1,>=80,North West
101,495555,True,2021-01-26,2021-01-25,1,<80,North West
102,39934,True,2021-01-26,2021-01-25,2,>=80,North West
103,23868,True,2021-01-26,2021-01-25,2,<80,North West
104,424567,True,2021-01-26,2021-01-25,1,>=80,South East
105,520067,True,2021-01-26,2021-01-25,1,<80,South East
106,53892,True,2021-01-26,2021-01-25,2,>=80,South East
107,22733,True,2021-01-26,2021-01-25,2,<80,South East
108,316872,True,2021-01-26,2021-01-25,1,>=80,South West
109,362611,True,2021-01-26,2021-01-25,1,<80,South West
110,41705,True,2021-01-26,2021-01-25,2,>=80,South West
111,11956,True,2021-01-26,2021-01-25,2,<80,South West
112,306817,True,2021-01-24,2021-01-23,1,>=80,East Of England
113,373994,True,2021-01-24,2021-01-23,1,<80,East Of England
114,44659,True,2021-01-24,2021-01-23,2,>=80,East Of England
115,8920,True,2021-01-24,2021-01-23,2,<80,East Of England
116,197448,True,2021-01-24,2021-01-23,1,>=80,London
117,389110,True,2021-01-24,2021-01-23,1,<80,London
118,37474,True,2021-01-24,2021-01-23,2,>=80,London
119,17543,True,2021-01-24,2021-01-23,2,<80,London
120,459943,True,2021-01-24,2021-01-23,1,>=80,Midlands
121,584074,True,2021-01-24,2021-01-23,1,<80,Midlands
122,48226,True,2021-01-24,2021-01-23,2,>=80,Midlands
123,18920,True,2021-01-24,2021-01-23,2,<80,Midlands
124,373864,True,2021-01-24,2021-01-23,1,>=80,North East And Yorkshire
125,531929,True,2021-01-24,2021-01-23,1,<80,North East And Yorkshire
126,53313,True,2021-01-24,2021-01-23,2,>=80,North East And Yorkshire
127,18411,True,2021-01-24,2021-01-23,2,<80,North East And Yorkshire
128,316592,True,2021-01-24,2021-01-23,1,>=80,North West
129,449024,True,2021-01-24,2021-01-23,1,<80,North West
130,40557,True,2021-01-24,2021-01-23,2,>=80,North West
131,22955,True,2021-01-24,2021-01-23,2,<80,North West
132,404745,True,2021-01-24,2021-01-23,1,>=80,South East
133,477155,True,2021-01-24,2021-01-23,1,<80,South East
134,54321,True,2021-01-24,2021-01-23,2,>=80,South East
135,21966,True,2021-01-24,2021-01-23,2,<80,South East
136,300719,True,2021-01-24,2021-01-23,1,>=80,South West
137,331686,True,2021-01-24,2021-01-23,1,<80,South West
138,41790,True,2021-01-24,2021-01-23,2,>=80,South West
139,11717,True,2021-01-24,2021-01-23,2,<80,South West
140,212909,True,2021-01-20,2021-01-19,1,>=80,East Of England
141,228389,True,2021-01-20,2021-01-19,1,<80,East Of England
142,44854,True,2021-01-20,2021-01-19,2,>=80,East Of England
143,8449,True,2021-01-20,2021-01-19,2,<80,East Of England
144,157819,True,2021-01-20,2021-01-19,1,>=80,London
145,265913,True,2021-01-20,2021-01-19,1,<80,London
146,36821,True,2021-01-20,2021-01-19,2,>=80,London
147,15613,True,2021-01-20,2021-01-19,2,<80,London
148,349359,True,2021-01-20,2021-01-19,1,>=80,Midlands
149,415197,True,2021-01-20,2021-01-19,1,<80,Midlands
150,48236,True,2021-01-20,2021-01-19,2,>=80,Midlands
151,18034,True,2021-01-20,2021-01-19,2,<80,Midlands
152,303300,True,2021-01-20,2021-01-19,1,>=80,North East And Yorkshire
153,367477,True,2021-01-20,2021-01-19,1,<80,North East And Yorkshire
154,54291,True,2021-01-20,2021-01-19,2,>=80,North East And Yorkshire
155,17086,True,2021-01-20,2021-01-19,2,<80,North East And Yorkshire
156,241581,True,2021-01-20,2021-01-19,1,>=80,North West
157,312248,True,2021-01-20,2021-01-19,1,<80,North West
158,41148,True,2021-01-20,2021-01-19,2,>=80,North West
